team_shape,player1_x,player1_y,player2_x,player2_y,player3_x,player3_y,player4_x,player4_y,player5_x,player5_y,player6_x,player6_y,player7_x,player7_y,player8_x,player8_y,player9_x,player9_y,player10_x,player10_y,player11_x,player11_y
5-4-1_L,-24,0,-18,10,-20,5,-20,0,-20,-5,-18,-10,-12,9,-12,3,-12,-3,-12,-9,-4,0
5-4-1_R,24,0,18,-10,20,-5,20,0,20,5,18,10,12,-9,12,-3,12,3,12,9,4,0
5-3-2_L,-24,0,-18,10,-20,5,-20,0,-20,-5,-18,-10,-12,6,-12,0,-12,-6,-4,3,-4,-3
5-3-2_R,24,0,18,-10,20,-5,20,0,20,5,18,10,12,-6,12,0,12,6,4,-3,4,3
4-4-2_L,-24,0,-18,9,-20,3,-20,-3,-18,-9,-10,9,-12,3,-12,-3,-10,-9,-4,3,-4,-3
4-4-2_R,24,0,18,-9,20,-3,20,3,18,9,10,-9,12,-3,12,3,10,9,4,-3,4,3
4-4-1-1_L,-24,0,-19,9,-21,3,-21,-3,-19,-9,-13,9,-15,3,-15,-3,-13,-9,-9,0,-3,0
4-4-1-1_R,24,0,19,-9,21,-3,21,3,19,9,13,-9,15,-3,15,3,13,9,9,0,3,0
4-3-3-a_L,-24,0,-18,9,-20,3,-20,-3,-18,-9,-12,3,-10,0,-12,-3,-6,8,-4,0,-6,-8
4-3-3-a_R,24,0,18,-9,20,-3,20,3,18,9,12,-3,10,0,12,3,6,-8,4,0,6,8
4-3-3-d_L,-24,0,-18,9,-20,3,-20,-3,-18,-9,-12,3,-14,0,-12,-3,-6,8,-4,0,-6,-8
4-3-3-d_R,24,0,18,-9,20,-3,20,3,18,9,12,-3,14,0,12,3,6,-8,4,0,6,8
4-3-2-1_L,-24,0,-19,9,-21,3,-21,-3,-19,-9,-15,9,-15,0,-15,-9,-9,3,-9,-3,-3,0
4-3-2-1_R,24,0,19,-9,21,-3,21,3,19,9,15,-9,15,0,15,9,9,-3,9,3,3,0
4-2-3-1_L,-24,0,-19,9,-21,3,-21,-3,-19,-9,-15,3,-15,-3,-11,9,-9,0,-11,-9,-3,0
4-2-3-1_R,24,0,19,-9,21,-3,21,3,19,9,15,-3,15,3,11,-9,9,0,11,9,3,0
4-1-4-1_L,-24,0,-19,9,-21,3,-21,-3,-19,-9,-15,0,-7,9,-9,3,-9,-3,-7,-9,-3,0
4-1-4-1_R,24,0,19,-9,21,-3,21,3,19,9,15,0,-7,-9,9,-3,9,3,7,9,3,0
4-1-2-1-2_L,-24,0,-18,9,-20,3,-20,-3,-18,-9,-14,0,-12,6,-12,-6,-10,0,-4,3,-4,-3
4-1-2-1-2_R,24,0,18,-9,20,-3,20,3,18,9,14,0,12,6,12,-6,10,0,4,-3,4,3
3-5-2_L,-24,0,-21,8,-21,0,-21,-8,-11,9,-15,3,-9,0,-15,-3,-11,-9,-3,3,-3,-3
3-5-2_R,24,0,21,-8,21,0,21,8,11,-9,15,-3,9,0,15,3,11,9,3,-3,3,3
3-4-3_L,-24,0,-18,8,-20,0,-18,-8,-12,9,-12,3,-12,-3,-12,-9,-6,8,-4,0,-6,-8
3-4-3_R,24,0,18,-8,20,0,18,8,12,-9,12,-3,12,3,12,9,6,-8,4,0,6,8
3-4-2-1_L,-24,0,-21,8,-21,0,-21,-8,-15,9,-15,3,-15,-3,-15,-9,-9,3,-9,-3,-3,0
3-4-2-1_R,24,0,21,-8,21,0,21,8,15,-9,15,-3,15,3,15,9,9,-3,9,3,3,0
3-4-1-2_L,-24,0,-21,8,-21,0,-21,-8,-15,9,-15,3,-15,-3,-15,-9,-9,0,-3,3,-3,-3
3-4-1-2_R,24,0,21,-8,21,0,21,8,15,-9,15,-3,15,3,15,9,9,0,3,-3,3,3
3-3-3-1_L,-24,0,-21,8,-21,0,-21,-8,-15,9,-15,0,-15,-9,-9,9,-9,0,-9,-9,-3,0
3-3-3-1_R,24,0,21,-8,21,0,21,8,15,-9,15,0,15,9,9,-9,9,0,9,9,3,0
3-1-4-2_L,-24,0,-21,8,-21,0,-21,-8,-15,0,-9,9,-9,3,-9,-3,-9,-9,-3,3,-3,-3
3-1-4-2_R,24,0,21,-8,21,0,21,8,15,0,9,-9,9,-3,9,3,9,9,3,-3,3,3
